sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EUR/AUD,2018-12-06T13:00:00.308Z,LP3,1575910,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.308Z,LP5,1575860,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.309Z,LP6,1575920,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.309Z,LP8,1575910,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.309Z,LP1,1575950,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.316Z,LP8,1575920,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.318Z,LP2,1575880,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.316Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.331Z,LP7,1575860,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.331Z,LP4,1575900,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.331Z,LP3,1575910,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.331Z,LP5,1575860,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.331Z,LP6,1575910,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.336Z,LP2,1575860,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.345Z,LP0,1575720,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.347Z,LP0,1575760,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.350Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.361Z,LP4,1575890,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.361Z,LP7,1575850,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.361Z,LP3,1575900,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.361Z,LP6,1575910,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.379Z,LP0,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.383Z,LP4,1575890,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.383Z,LP3,1575900,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.383Z,LP7,1575840,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.383Z,LP5,1575850,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP4,1575880,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP4,1575880,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP7,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP3,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP3,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP5,1575840,100000000,1576110,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP5,1575840,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP6,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.411Z,LP6,1575890,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.409Z,LP1,1575910,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.425Z,LP0,1575760,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP2,1575850,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP4,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP4,1575870,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.429Z,LP7,1575820,100000000,1576090,100000000
